ad_name,campaign_name,cost,purchases,conv_value
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-SUN,153.09,1,88.24
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pastry Dream - MoMa - Avec Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,152.49,2,115.65
20/05/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pasty Dream - Still Life - Avec Prix - V1,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,152.39,5,167.74
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-FID,152.38,3,191.81
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-RTG,151.5,9,719.45
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Pomodoro - Split Screen - 1 Lunette - Avec prix - V2,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,151.41,3,191.87
21/05/26 - Image - All targets - SUN - ALEGRIA - #BAY - Black Olive - Packshot 3 Angles - Avec Prix - V1,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,151,3,110.62
14/01/26 - Video Social Friendly - Young Dynamic - SLEEPING - PERMANENT - #D - Multi Variantes - Unboxing Musique - Sans Prix - V1 - H1,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,150.74,8,342.5
30/03/26 - Video Social Friendly - Young Dynamic - SUN - PERMANENT - Multi Modèles - Vintage Cream - Unboxing - Sans Prix - V2 - H1,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,150.5,9,551.31
30/03/26 - Video Social Friendly - Young Dynamic - SUN - PERMANENT - Multi Modèles - Vintage Cream - Unboxing - Sans Prix - V1 - H1,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,150.4,8,517
26/03/26 - Carrousel - Young Presbyte - READING - PERMANENT - #Office - Multi Variantes - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,150.28,2,275.5
01/07/26 - Video UGC - Young Dynamic - SUN - CROSSROADS - Multi Variantes - Multi Modèles - UGC in Store - Sans Prix - V1 - H1,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,149.65,5,406.98
20/05/26 - Video UGC - All targets - SUN - ALEGRIA - #LUZ - Blue Riviera - Femme Porté - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,149.39,,
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,149.33,5,410.35
20/05/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pasty Dream - Still Life - Avec Prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,146.01,12,617.4
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,145.32,2,203.55
22/06/26 - Video UGC - Young Dynamic - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - UGC Camille Le Super Cent - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-RTG,144.72,5,334.75
18/03/26 - Video Social Friendly - Young Parent - KIDS - BONPOINT - #ROAD - Glossy Havane -  Unboxing - Sans Prix - V1 - H1,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,144.7,3,121.75
10/07/26 - Image - Young Dynamic - SUN - #ROAD - Tortoise - MoMa - Avec prix - V1,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,143.05,5,406.5
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,142.16,2,86.37
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,140.57,5,449.35
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,140.45,9,603.17
13/03/26 - Image - Young Presbyte - READING - PERMANENT - #Office - Tortoise - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,137.08,1,75.5
04/06/26 - Image - All targets - SUN - ALEGRIA - #BAY - Black Olive - MoMa - Avec Prix - V1,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,136.99,10,390.5
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Turquoise Stone - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,136.83,10,699.83
20/05/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pasty Dream - Still Life - Avec Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,135.71,4,231.16
13/03/26 - Image - Young Presbyte - READING - PERMANENT - #Office - Light Tortoise - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,135.04,1,40.59
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Caramel Pearl - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,134.78,7,751.5
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pastry Dream - MoMa - Avec Prix - V1,ASUC-(NEW)-PERF-RTG-WARM-ROW,134.49,5,269.9
18/12/25 - Image Collection - Young Presbyte - READING - PERMANENT - #D - Frozen Blue - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,134.43,12,630.04
30/03/26 - Video Social Friendly - Young Dynamic - SUN - PERMANENT - Multi Modèles - Vintage Cream - Unboxing - Sans Prix - V2 - H1,ASUC-(HISTO)-US-(US)-PERF-RTG,133.43,,
18/03/26 - Video Social Friendly - Young Parent - KIDS - BONPOINT - #C - Cookie Dough - Unboxing - Sans Prix - V1 - H1,ASUC-(NEW)-PERF-RTG-WARM-ROW,133.11,6,286.01
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,133.03,3,317.99
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Turquoise Stone - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,132.89,3,169.41
07/07/26 - Motion - All targets - SUN - PERMANENT - Multi Modèles - Multi Variantes - Promo - 2 Paires achetées = 1 offerte - Sans Prix - V1,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,131.44,9,910.5
21/05/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Multi Variantes - Packshot Face - Avec Prix - V1,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,131.03,1,74.01
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Golden Canyon - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-RTG,130.82,10,612.2
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Golden Canyon - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,129.83,6,323.64
04/06/26 - Image - All targets - SUN - ALEGRIA - #BAY - Black Olive - MoMa - Avec Prix - V1,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,129.48,2,131.28
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-SUN,129.23,2,253.75
Carrousel DAd - All Targets - MULTI GAMME - CROSSROADS - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,129.02,20,1116.41
Carrousel DAd - All Targets - MULTI GAMME - CROSSROADS - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-RTG,128.31,3,248.61
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pastry Dream - MoMa - Avec Prix - V1,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-RTG,128.1,5,331.37
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Multi Variantes - Split Screen - 3 Lunettes - Avec prix - V3,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,127.48,,
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pomodoro - MoMa - Avec Prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,126.55,2,100.6
21/05/26 - Image - All targets - SUN - ALEGRIA - #BAY - Black Olive - Packshot 3 Angles - Avec Prix - V1,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,126.25,4,251.92
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Caramel Pearl - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,126.23,12,812.07
14/01/26 - Video Social Friendly - Young Dynamic - SLEEPING - PERMANENT - #D - Multi Variantes - Unboxing Musique - Sans Prix - V1 - H1,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,125.89,12,571.95
22/06/26 - Video UGC - Young Dynamic - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - UGC Camille Le Super Cent - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,125.73,1,41.44
21/05/26 - Image - All targets - SUN - ALEGRIA - #BAY - Black Olive - Packshot 3 Angles - Avec Prix - V1,ASUC-(NEW)-PERF-RTG-WARM-ROW,124.02,6,359.94
22/06/26 - Video UGC - Young Dynamic - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - UGC Camille Le Super Cent - Sans Prix - V1 - H1,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,123.98,10,711.94
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,123.84,6,401.91
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,123.33,3,147.25
10/07/26 - Image - Young Dynamic - SUN - #OFFICE - Vintage Cream - MoMa - Avec prix - V1,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,123.29,2,40.63
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pastry Dream - MoMa - Avec Prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,122.32,4,211.6
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Multi Variantes - Split Screen - 3 Lunettes - Avec prix - V3,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,122.05,9,323.73
10/07/26 - Image - Young Dynamic - SUN - #ROAD - Tortoise - MoMa - Avec prix - V1,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,121.79,2,145.5
21/05/26 - Image - All targets - SUN - ALEGRIA - #BAY - Black Olive - Packshot 3 Angles - Avec Prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,121.06,8,296.2
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,119.51,4,242
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pastry Dream - MoMa - Avec Prix - V1,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,119.37,5,330.56
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pastry Dream - MoMa - Avec Prix - V1,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,118.24,2,98.61
21/04/26 - Video Brand - All targets - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - Sans Prix - V1 - H1,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,118.03,7,404.33
21/05/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Multi Variantes - Packshot Face - Avec Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,117.92,4,178.92
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #OFFICE - Multi Variantes - UGC Emma Le Super Cent - Sans Prix - V1 - H1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,117.5,3,141.1
21/05/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pomodoro - Packshot 3 Angles - Avec Prix - V1,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,117.44,3,145.57
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,116.25,5,246
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Multi Variantes - Split Screen - 3 Lunettes - Avec prix - V3,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-FID,115.64,2,103.64
21/04/26 - Video Brand - All targets - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-RTG,115.6,8,560.67
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,115.29,3,280.5
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,115.04,5,294.88
10/07/26 - Image - Young Dynamic - SCREEN - #OFFICE - Light Tortoise - Split Screen - Sans prix - V1,ASUC-(HISTO)-US-(US)-PERF-RTG,113.77,,
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Multi Variantes - Split Screen - 3 Lunettes - Avec prix - V3,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,113.15,3,106.46
21/05/26 - Video Brand - Young Dynamic - SPORT - PERMANENT - #FLASH - Multi Variantes - Mixte - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,112.78,4,261.5
10/07/26 - Image - Young Dynamic - SUN - #OFFICE - Golden Green - MoMa - Avec prix - V1,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,112.58,5,257
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pomodoro - MoMa - Avec Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-RTG,112.5,1,80.91
Carrousel DAd - All Targets - MULTI GAMME - CROSSROADS - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,108.78,7,331.47
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Turquoise Stone - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,108.62,4,382.18
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pomodoro - MoMa - Avec Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,107.86,2,125.17
21/05/26 - Image - All targets - SUN - ALEGRIA - #BAY - Black Olive - Packshot 3 Angles - Avec Prix - V1,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,107.74,4,199.97
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,107.57,4,209.5
10/07/26 - Image - Young Dynamic - SUN - #OFFICE - Golden Green - MoMa - Avec prix - V1,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,107.07,3,259.43
13/03/26 - Image - Young Presbyte - READING - PERMANENT - #Office - Frozen Blue - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,106.48,1,24.33
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,106.15,2,74.98
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Multi Variantes - Split Screen - 3 Lunettes - Avec prix - V3,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-RTG,105.22,4,322.68
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Pomodoro - Split Screen - 1 Lunette - Avec prix - V2,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-FID,104.88,2,138.71
20/05/26 - Video UGC - All targets - SUN - ALEGRIA - #LUZ - Pomodoro - Femme Porté - Sans Prix - V1 - H1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,104.7,2,57.06
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #OFFICE - Multi Variantes - UGC Emma Le Super Cent - Sans Prix - V1 - H1,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-FID,104.67,2,94.05
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,104.49,3,109.58
10/07/26 - Image - Young Dynamic - SCREEN - #OFFICE - Light Tortoise - Split Screen - Sans prix - V1,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD-RECO,104.01,2,105.49
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Porté Femme - Sans Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,103.84,2,180.03
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,103.82,3,146.5
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Multi Variantes - Split Screen - 3 Lunettes - Avec prix - V3,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,103.73,5,219.23
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Pomodoro - Split Screen - 1 Lunette - Avec prix - V2,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,103.66,3,200.74
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,103.21,5,300.5
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-RTG,102.99,6,409.64
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Pomodoro - Split Screen - 1 Lunette - Avec prix - V2,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,102.77,,
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,102.54,4,120.26
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Turquoise Stone - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-PERF-RTG-WARM-ROW,101.88,13,999.13
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pastry Dream - MoMa - Avec Prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,101.87,6,270.4
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Pomodoro - Split Screen - 1 Lunette - Avec prix - V2,ASUC-(HISTO)-UK-(UK)-PERF-RTG,101.37,6,458.77
13/03/26 - Image - Young Presbyte - READING - PERMANENT - #Office - Black - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,100.7,6,423.51
21/04/26 - Video Brand - All targets - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - Sans Prix - V1 - H1,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,100.36,5,242
18/12/25 - Image Collection - Young Presbyte - READING - PERMANENT - #C - Black - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,99.17,4,312.37
07/07/26 - Motion - All targets - SUN - PERMANENT - Multi Modèles - Multi Variantes - Promo - 2 Paires achetées = 1 offerte - Sans Prix - V1,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,98.91,11,1185.93
20/05/26 - Video UGC - All targets - SUN - ALEGRIA - #LUZ - Blue Riviera - Femme Porté - Sans Prix - V1 - H1,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,98.35,,
18/03/26 - Video Social Friendly - Young Parent - KIDS - BONPOINT - #ROAD - Glossy Havane -  Unboxing - Sans Prix - V1 - H1,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,98.33,5,192.5
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(NEW)-PERF-RTG-WARM-ROW,97.47,10,920.86
20/05/26 - Image - All Targets - SUN - ALEGRIA - #LUZ - Pomodoro - Split Screen - 1 Lunette - Avec prix - V2,ASUC-(NEW)-PERF-RTG-WARM-ROW,97.4,1,35.23
10/07/26 - Image - Young Parent - KIDS - PERMANENT - #D - Tortoise - Split Screen - Sans Prix - V1,ASUC-(ALL)-PERF-KIDS-INTER,97.09,13,729.65
18/03/26 - Image - Young Parent - KIDS - BONPOINT - Multi Modèles - Packshot Face - Avec Prix - V1,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,96.34,4,330.49
26/03/26 - Carrousel - Young Presbyte - READING - PERMANENT - #Office - Multi Variantes - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,95.72,3,175.08
10/07/26 - Image - Young Dynamic - SUN - #ROAD - Tortoise - MoMa - Avec prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,95.3,4,284.8
21/04/26 - Video Brand - All targets - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - Sans Prix - V1 - H1,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-FID,95.19,2,129.3
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,94.91,4,423.84
21/04/26 - Video Brand - All targets - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - Sans Prix - V1 - H1,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,94.68,8,428.14
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,94.52,4,200
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,94.49,5,224.5
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,92.94,4,210.45
21/05/26 - Image - All targets - SUN - ALEGRIA - #BAY - Black Olive - Packshot 3 Angles - Avec Prix - V1,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,91.32,1,48.19
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pastry Dream - MoMa - Avec Prix - V1,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,90.42,6,718.74
22/06/26 - Video UGC - Young Dynamic - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - UGC Camille Le Super Cent - Sans Prix - V1 - H1,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,90.04,4,180.57
15/12/25 - Carrousel - Young Dynamic - SPORT - MONTAGNE - GLACIER #G - Multi Variantes - Packshot Face - Avec Prix - V1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,90.02,8,610.8
10/07/26 - Image - Young Dynamic - SCREEN - #OFFICE - Light Tortoise - Split Screen - Sans prix - V1,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,89.76,1,76.73
10/07/26 - Image - Young Dynamic - SUN - #OFFICE - Golden Green - MoMa - Avec prix - V1,ASUC-(NEW)-PERF-RTG-WARM-ROW,89.44,1,103.07
21/05/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pomodoro - Packshot 3 Angles - Avec Prix - V1,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,89.36,1,32.37
21/05/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pomodoro - Packshot 3 Angles - Avec Prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,88.71,3,133.2
20/04/26 - Image - Young Dynamic - SPORT - RUNNING - #HORIZON - Multi Variantes - KV SS26 - Portés Mixte - Avec Prix - V1,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,88.56,1,71.14
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,87.9,2,181
Carrousel DAd - All Targets - MULTI GAMME - CROSSROADS - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,87.74,4,237
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pomodoro - MoMa - Avec Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,87.28,,
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,87.06,2,127.34
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Sandstorm - Sun Polarises USP - Sans Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,86.84,3,166.5
